root,cell,result_path,result_sha256,actual_episodes,checkpoint_sha256,runtime_git_commit,runtime_source_manifest_sha256,runtime_git_dirty,cond_bars,cond_seed,cond_num_envs,cond_robot_name,cond_goal_dist_min_m,cond_goal_dist_max_m,cond_action_selection,cond_reflection_mode,cond_distractor_count,cond_speed_governor_mode,cond_speed_governor_half_width_m,cond_speed_governor_margin_m,cond_speed_governor_fixed_mps,cond_speed_governor_free_mps,cond_speed_governor_slow_m,cond_speed_governor_release_m,cond_speed_governor_brake_mps2,cond_speed_governor_reaction_s,cond_speed_governor_ttc_s,cond_speed_governor_width_per_mps,cond_speed_governor_width_per_open_m,cond_speed_governor_width_open_ref_m,cond_speed_governor_width_max_m,cond_speed_governor_lateral_margin_m,cond_speed_governor_yaw_cap_radps,n_captured,rate_captured,n_crash,rate_crash,n_timeout,rate_timeout,gov_intervention_rate,gov_mean_executed_mps,gov_mean_requested_mps,gov_samples,contacts,contact_vertical_out,contact_behind,contact_lateral,contact_no_return,contact_in_corridor,contact_records_path,contact_records_rows,frame_samples_rows,req_gov,req_gov_half_width_m,req_gov_width_max_m,req_gov_width_open_ref_m,req_gov_width_per_open_m
A7_ep25000_205_s49,riskcap_arc,results/navrl_arc_attribution_205bars_seed49/riskcap_arc/205bars.json,2b42a7c39f23443287059be886f41e672f0d67f2614672389c2bc0d3cf340682,2050,f702213936601860,742022e818d5,921a964890491d71,False,205,49,128,navrl_quad,6.0,28.0,deterministic,original,0,riskcap_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1654,0.806829268292683,345,0.16829268292682928,51,0.024878048780487806,0.33085738539898135,2.6860302283424238,2.955835083297986,301568,326,0,5,224,26,71,,,,,,,,
A7_ep25000_205_s49,stopcap,results/navrl_arc_attribution_205bars_seed49/stopcap/205bars.json,e7e2f2a0f4608509e737a361a4e5888d271d6b4c9fedb5a095938294b36a4a64,2049,f702213936601860,742022e818d5,921a964890491d71,False,205,49,128,navrl_quad,6.0,28.0,deterministic,original,0,stopcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1429,0.6974133723767691,333,0.16251830161054173,287,0.14006832601268912,0.45307659814136864,1.763711029723242,3.081442058977123,454528,324,0,8,189,33,94,,,,,,,,
A8_readapt_s521,S_dwa_arc,results/navrl_a8_readaptation_seed521/S_dwa_arc/70bars.json,925fb683b8ed4aa800d50108021d5e79eb88fc87619025e0ba0a41d24ea27108,2050,197ea26999d6bb9c,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1584,0.7726829268292683,232,0.11317073170731708,234,0.11414634146341464,0.03942325036075036,2.230652063032425,2.2678292592484337,532224,88,0,1,45,23,19,,,,,,,,
A8_readapt_s521,S_off,results/navrl_a8_readaptation_seed521/S_off/70bars.json,c3968f4ec14e8fc2c4055f1e34e304a9f6cdd3ae9e9bfa1db774fc578120c16a,2049,197ea26999d6bb9c,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1414,0.690092728160078,440,0.21473889702293802,195,0.0951683748169839,0.0,2.2781184775884302,2.2781184775884302,480128,297,0,9,168,66,54,,,,,,,,
A8_readapt_s521,S_riskcap,results/navrl_a8_readaptation_seed521/S_riskcap/70bars.json,caa28889fefb30e844d5e9f639c5adf1079c6e1099b025cae0a2d5b6ce7657c2,2049,197ea26999d6bb9c,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1469,0.7169350902879453,360,0.17569546120058566,220,0.10736944851146901,0.05567739946889226,2.2310495290904324,2.2696576321416564,506112,231,0,6,132,41,52,,,,,,,,
A8_readapt_s521,T0_dwa_arc,results/navrl_a8_readaptation_seed521/T0_dwa_arc/70bars.json,be250373eb75cdb9a7085c45c25798beda2bd45e7d8647baf55facd9255bdb0b,2049,ea6f6e83dc7b6706,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1823,0.8897022938018546,192,0.09370424597364568,34,0.016593460224499756,0.07146447054140127,2.934308393065127,3.005212915932901,401920,135,0,0,63,26,46,,,,,,,,
A8_readapt_s521,T0_off,results/navrl_a8_readaptation_seed521/T0_off/70bars.json,c53eed79e989bdce57e2f29dd535148882d8224fab045b65353b5e8209b1445c,2049,ea6f6e83dc7b6706,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1593,0.7774524158125915,424,0.20693020985846755,32,0.015617374328940947,0.0,3.003110686231598,3.003110686231598,367744,377,0,7,217,60,93,,,,,,,,
A8_readapt_s521,T0_riskcap,results/navrl_a8_readaptation_seed521/T0_riskcap/70bars.json,e9766579f9eb37b4404c550eae21209f320eb488fb3127f75f7822b1367fa659,2049,ea6f6e83dc7b6706,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1700,0.8296730112249878,319,0.15568570034163007,30,0.014641288433382138,0.09599582765667575,2.9385231567144934,3.014621249074159,375808,268,0,1,175,46,46,,,,,,,,
A8_readapt_s521,T1_off,results/navrl_a8_readaptation_seed521/T1_off/70bars.json,954ab20b383d972a9a6af7df6a761a6cb07defd35871a67bb70eb9c5b391b6ae,2051,4e657c59070802d3,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1519,0.7406143344709898,503,0.24524622135543636,29,0.014139444173573866,0.0,2.8978652152771,2.8978652152771,358272,424,0,3,194,115,112,,,,,,,,
A8_readapt_s521,T1_riskcap,results/navrl_a8_readaptation_seed521/T1_riskcap/70bars.json,2e98ff1938e2dfce63f98e6490bb900580ccfb0e8bf87f620812989928110446,2050,4e657c59070802d3,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1660,0.8097560975609757,358,0.1746341463414634,32,0.015609756097560976,0.10175971894984853,2.821861148679298,2.9079893493679623,380288,281,0,1,145,71,64,,,,,,,,
A8_readapt_s521,T2_dwa_arc,results/navrl_a8_readaptation_seed521/T2_dwa_arc/70bars.json,3378e1be84f5764c0c250cfe050a046728e9a66028bcc51a5c7e033ea9ed3574,2049,ea6dab8c641f377d,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1766,0.8618838457784285,226,0.11029770619814544,57,0.027818448023426062,0.08125,2.9192389908506047,3.0082048488489628,389120,198,0,1,77,66,54,,,,,,,,
A8_readapt_s521,T2_off,results/navrl_a8_readaptation_seed521/T2_off/70bars.json,1b90c448299613b45850af1a7e5c6c8927519072538874faf36afe0488ae166c,2049,ea6dab8c641f377d,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1411,0.6886285993167399,610,0.2977061981454368,28,0.013665202537823329,0.0,3.007696022316815,3.007696022316815,329984,575,0,5,314,121,135,,,,,,,,
D1gate_T0_s523,T0_d070_off,results/navrl_grid_d1_gate_off_T0_seed523/T0_d070_off/70bars.json,26cb647f500d2fa491a3f8f4c5ae3a617416cf0069ee35232ea26711ecd612f3,2050,ea6f6e83dc7b6706,22541cd9e435,1c286b2e17053498,False,70,523,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1592,0.7765853658536586,431,0.21024390243902438,27,0.013170731707317073,0.0,3.0087888269906675,3.0087888269906675,364672,383,0,7,227,69,80,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1_gate_off_T0_seed523/T0_d070_off/70bars.contact_records.jsonl,383,3584,off,,,,
D1gate_T0_s523,T0_d100_off,results/navrl_grid_d1_gate_off_T0_seed523/T0_d100_off/100bars.json,8ad2ff458f80ebc48a109974042837779bbdcf23a753453fcb79f494103f1a5c,2050,ea6f6e83dc7b6706,22541cd9e435,1c286b2e17053498,False,100,523,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1429,0.6970731707317073,595,0.29024390243902437,26,0.012682926829268294,0.0,3.008469608519008,3.008469608519008,368256,501,0,4,300,79,118,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1_gate_off_T0_seed523/T0_d100_off/100bars.contact_records.jsonl,501,3584,off,,,,
D1gate_T0_s523,T0_d130_off,results/navrl_grid_d1_gate_off_T0_seed523/T0_d130_off/130bars.json,92ad98f04b422056ff4f56c7d1ed1e2c9f6875b009c27a945a115fe596838358,2049,ea6f6e83dc7b6706,22541cd9e435,1c286b2e17053498,False,130,523,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1089,0.5314787701317716,930,0.4538799414348463,30,0.014641288433382138,0.0,2.9313374089099753,2.9313374089099753,368640,753,0,7,434,91,221,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1_gate_off_T0_seed523/T0_d130_off/130bars.contact_records.jsonl,753,3584,off,,,,
D1gate_T0_s523,T0_d160_off,results/navrl_grid_d1_gate_off_T0_seed523/T0_d160_off/160bars.json,fb3ba1ddb4405192fa2768767b15e509d63c504b1a55d90960245936f949acd4,2049,ea6f6e83dc7b6706,22541cd9e435,1c286b2e17053498,False,160,523,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,827,0.4036115178135676,1202,0.5866276232308443,20,0.009760858955588092,0.0,2.823104200334938,2.823104200334938,332544,965,0,18,561,93,293,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1_gate_off_T0_seed523/T0_d160_off/160bars.contact_records.jsonl,965,3200,off,,,,
D1gate_T0_s523,T0_d205_off,results/navrl_grid_d1_gate_off_T0_seed523/T0_d205_off/205bars.json,711844ba5550402ac1dc0e72e371190c96211d818b95f5042288689fdbef86e9,2051,ea6f6e83dc7b6706,22541cd9e435,1c286b2e17053498,False,205,523,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,357,0.17406143344709898,1681,0.8196001950268161,13,0.006338371526084837,0.0,2.606388633923849,2.606388633923849,261888,1298,0,27,786,89,396,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1_gate_off_T0_seed523/T0_d205_off/205bars.contact_records.jsonl,1298,2560,off,,,,
D1p_ep25000_s523,ep25000_d070_dwa_arc,results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_dwa_arc/70bars.json,ba8b988057e09d216f014498ccb84f75df0696584ffc34874d9886fb35f2a985,2049,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,70,523,128,navrl_quad,6.0,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1914,0.9341142020497804,92,0.04489995119570522,43,0.020985846754514398,0.07351121881778742,2.6671334851468527,2.733856838564891,236032,68,0,3,43,10,12,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_dwa_arc/70bars.contact_records.jsonl,68,2304,dwa_arc,,,,
D1p_ep25000_s523,ep25000_d070_off,results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_off/70bars.json,d4f272ff125187bdf86b66d5bc667449f0e554ee3cb91ea6d9831fae406b5c1f,2049,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,70,523,128,navrl_quad,6.0,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1804,0.8804294777940459,199,0.09712054660810152,46,0.02244997559785261,0.0,2.703270556477377,2.703270556477377,233984,160,0,9,107,27,17,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_off/70bars.contact_records.jsonl,160,2304,off,,,,
D1p_ep25000_s523,ep25000_d070_riskcap,results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_riskcap/70bars.json,a21b37b8611bb03dac32e5a560bbaeaaef457dcc980ff438e35c8e638f738b85,2050,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,70,523,128,navrl_quad,6.0,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1883,0.9185365853658537,117,0.05707317073170732,50,0.024390243902439025,0.09685007076685538,2.6369649564814814,2.71198064604467,248704,81,0,4,54,12,11,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_riskcap/70bars.contact_records.jsonl,81,2432,riskcap,,,,
D1p_ep25000_s523,ep25000_d070_stopcap,results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_stopcap/70bars.json,3ac471d20abb088a478e3eb3666c14ae350f911ce7916e31d988b1c9b07aac7e,2049,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,70,523,128,navrl_quad,6.0,28.0,deterministic,original,0,stopcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1853,0.9043435822352367,110,0.053684724255734506,86,0.041971693509028796,0.16967270385795705,2.309749805808393,2.7820372025892204,291968,87,0,0,59,18,10,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d070_stopcap/70bars.contact_records.jsonl,87,2816,stopcap,,,,
D1p_ep25000_s523,ep25000_d100_dwa_arc,results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_dwa_arc/100bars.json,405a60d1cb1cc132500206eecea564f439475d412e5dbf42af11ca3de025f7fd,2049,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,100,523,128,navrl_quad,6.0,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1908,0.931185944363104,95,0.04636408003904344,46,0.02244997559785261,0.09313425577309237,2.6798289639541197,2.76198892323926,254976,77,0,3,51,13,10,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_dwa_arc/100bars.contact_records.jsonl,77,2432,dwa_arc,,,,
D1p_ep25000_s523,ep25000_d100_off,results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_off/100bars.json,96d16243eac723d954740cab55d53129cb9ceef78219fab71688eec0428d82e7,2050,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,100,523,128,navrl_quad,6.0,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1839,0.8970731707317073,174,0.08487804878048781,37,0.018048780487804877,0.0,2.7577432496213414,2.7577432496213414,242816,151,0,7,86,22,36,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_off/100bars.contact_records.jsonl,151,2304,off,,,,
D1p_ep25000_s523,ep25000_d100_riskcap,results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_riskcap/100bars.json,7aa6fc9287c7c62959bd8908c33b5c693d12bd890f44ef5cf87b9c264b3cb830,2049,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,100,523,128,navrl_quad,6.0,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1852,0.9038555392874573,131,0.063933626159102,66,0.032210834553440704,0.12230443648047454,2.6690193882753235,2.763722822566469,258944,103,0,7,75,10,11,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_riskcap/100bars.contact_records.jsonl,103,2560,riskcap,,,,
D1p_ep25000_s523,ep25000_d100_stopcap,results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_stopcap/100bars.json,e38eaf2df056da1bd5b146b83c84ffdd931c634e8adc38c0984d7051021978ef,2050,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,100,523,128,navrl_quad,6.0,28.0,deterministic,original,0,stopcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1833,0.8941463414634147,127,0.06195121951219512,90,0.04390243902439024,0.1842796052631579,2.3350595619101857,2.833909219109237,304000,108,0,2,74,16,16,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d100_stopcap/100bars.contact_records.jsonl,108,2944,stopcap,,,,
D1p_ep25000_s523,ep25000_d130_dwa_arc,results/navrl_grid_d1p_ep25000_seed523/ep25000_d130_dwa_arc/130bars.json,f8502e1143d9dba32790392f58c1b096bd400c5e7d9f21d520967bb1485ccf88,2049,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,130,523,128,navrl_quad,6.0,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1856,0.9058077110785749,128,0.06246949731576379,65,0.0317227916056613,0.12044868119266056,2.7105266262358416,2.8196293630517544,279040,110,0,3,65,14,28,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d130_dwa_arc/130bars.contact_records.jsonl,110,2688,dwa_arc,,,,
D1p_ep25000_s523,ep25000_d130_off,results/navrl_grid_d1p_ep25000_seed523/ep25000_d130_off/130bars.json,72aee1f8d0a7c339e63670d0ecd7aa34b6aca693d20002c9e9db778a58bbc89f,2051,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,130,523,128,navrl_quad,6.0,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1785,0.8703071672354948,213,0.10385177961969771,53,0.025841053144807412,0.0,2.807296523023559,2.807296523023559,261760,194,0,7,130,26,31,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d130_off/130bars.contact_records.jsonl,194,2560,off,,,,
D1p_ep25000_s523,ep25000_d130_riskcap,results/navrl_grid_d1p_ep25000_seed523/ep25000_d130_riskcap/130bars.json,6ef85235a6cf3d3f61d9e4cc5af4309b57093088ad37cf73df58157b22946940,2049,f702213936601860,40d4ec110b1a,dbd540b5506749ff,False,130,523,128,navrl_quad,6.0,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,0.0,,,,0.0,0.0,1849,0.9023914104441191,137,0.06686188384577843,63,0.03074670571010249,0.1500584854436229,2.7013123874857583,2.818037336945822,276992,117,0,6,76,19,16,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_grid_d1p_ep25000_seed523/ep25000_d130_riskcap/130bars.contact_records.jsonl,117,2688,riskcap,,,,
